Sr. No.,Booking ID,Service Type,Service Name,Location,Customer ID,Professional ID,Transaction Amount,Transaction Status,Rating,Reviews
1,1,HouseKeeping,DeepCleaning,location,5,2,150.0,Accepted,5,good
2,2,HouseKeeping,Floor Polishing,location,5,2,150.0,Accepted,,
3,1,HouseKeeping,DeepCleaning,location,5,2,120.0,Completed,5,good
4,2,HouseKeeping,Floor Polishing,location,5,2,120.0,Completed,,
5,1,HouseKeeping,DeepCleaning,location,5,2,200.0,Completed,5,good
6,2,HouseKeeping,Floor Polishing,location,5,2,200.0,Completed,,
7,1,HouseKeeping,DeepCleaning,location,5,2,200.0,Completed,5,good
8,2,HouseKeeping,Floor Polishing,location,5,2,200.0,Completed,,
9,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Completed,5,good
10,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Completed,,
11,1,HouseKeeping,DeepCleaning,location,9,4,200.0,Completed,5,good
12,2,HouseKeeping,Floor Polishing,location,9,4,200.0,Completed,,
13,1,HouseKeeping,DeepCleaning,location,9,4,120.0,Completed,5,good
14,2,HouseKeeping,Floor Polishing,location,9,4,120.0,Completed,,
15,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
16,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,,
17,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
18,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,,
19,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
20,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,,
21,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
22,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,,
23,1,HouseKeeping,DeepCleaning,location,5,4,200.0,Accepted,5,good
24,2,HouseKeeping,Floor Polishing,location,5,4,200.0,Accepted,,
25,1,HouseKeeping,DeepCleaning,location,9,4,200.0,Completed,5,good
26,2,HouseKeeping,Floor Polishing,location,9,4,200.0,Completed,,
27,1,HouseKeeping,DeepCleaning,location,9,4,120.0,Accepted,5,good
28,2,HouseKeeping,Floor Polishing,location,9,4,120.0,Accepted,,
29,1,HouseKeeping,DeepCleaning,location,9,4,250.0,Accepted,5,good
30,2,HouseKeeping,Floor Polishing,location,9,4,250.0,Accepted,,
31,1,HouseKeeping,DeepCleaning,location,9,4,250.0,Accepted,5,good
32,2,HouseKeeping,Floor Polishing,location,9,4,250.0,Accepted,,
33,1,HouseKeeping,DeepCleaning,location,8,4,120.0,Accepted,5,good
34,2,HouseKeeping,Floor Polishing,location,8,4,120.0,Accepted,,
35,1,HouseKeeping,DeepCleaning,location,5,4,200.0,Accepted,5,good
36,2,HouseKeeping,Floor Polishing,location,5,4,200.0,Accepted,,
37,1,HouseKeeping,DeepCleaning,location,42,11,2000.0,Completed,5,good
38,2,HouseKeeping,Floor Polishing,location,42,11,2000.0,Completed,,
39,1,HouseKeeping,DeepCleaning,location,42,11,3000.0,Accepted,5,good
40,2,HouseKeeping,Floor Polishing,location,42,11,3000.0,Accepted,,
